,Sex,LSM (mm),Diameter (mm),Height (mm),Weight_of_Abalone (grams),Weight_Of_Meat (mm),Gut_Weight_After_Bleeding (grams),Shell_Weight (grams),Rings
2301,0,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,10.0
1533,1,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405,6.0
1531,1,0.21,0.17,0.045,0.0475,0.019,0.011000000000000001,0.013000000000000001,5.0
1395,2,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,10.0
471,0,0.515,0.405,0.12,0.6459999999999999,0.2895,0.1405,0.177,10.0
1414,2,0.685,0.545,0.205,1.7925,0.8145,0.41600000000000004,0.461,9.0
3218,0,0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365,14.0
2679,0,0.615,0.47,0.155,1.084,0.5885,0.209,0.24600000000000002,9.0
525,2,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4.0
1946,2,0.635,0.525,0.16,1.195,0.5435,0.24600000000000002,0.335,12.0
2345,0,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17.0
3937,2,0.53,0.425,0.11,0.7390000000000001,0.237,0.161,0.295,13.0
3465,0,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,9.0
1649,1,0.59,0.45,0.145,1.022,0.428,0.268,0.265,10.0
2697,2,0.66,0.515,0.165,1.4465,0.6940000000000001,0.298,0.3755,10.0
741,0,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,8.0
3733,2,0.605,0.455,0.16,1.1215,0.5329999999999999,0.273,0.271,10.0
2469,2,0.54,0.415,0.13,0.8245,0.272,0.226,0.24,13.0
1284,1,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,9.0
2907,2,0.58,0.46,0.15,1.0490000000000002,0.5205,0.1935,0.305,10.0
1556,1,0.415,0.325,0.1,0.313,0.139,0.0625,0.0965,7.0
1080,2,0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,7.0
1655,0,0.6,0.46,0.155,0.9735,0.42700000000000005,0.2045,0.3,8.0
1281,1,0.5,0.38,0.135,0.594,0.2945,0.10400000000000001,0.1565,9.0
1576,1,0.49,0.375,0.115,0.4615,0.204,0.0945,0.14300000000000002,8.0
1324,1,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,11.0
2957,0,0.655,0.5,0.205,1.528,0.6215,0.3725,0.4535,11.0
3489,0,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8.0
1182,0,0.66,0.53,0.185,1.3459999999999999,0.546,0.2705,0.47600000000000003,11.0
3698,0,0.65,0.51,0.175,1.35,0.575,0.3155,0.3885,10.0
3027,1,0.5,0.38,0.135,0.5285,0.226,0.12300000000000001,0.209,8.0
3063,0,0.635,0.49,0.155,1.145,0.4775,0.3035,0.3155,9.0
2513,0,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175,8.0
3638,1,0.44,0.34,0.105,0.344,0.12300000000000001,0.081,0.125,8.0
1700,2,0.635,0.5,0.17,1.4345,0.611,0.309,0.418,12.0
3358,2,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,5.0
3819,2,0.57,0.45,0.14,0.9275,0.47700000000000004,0.1605,0.2515,8.0
673,2,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21.0
321,1,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,4.0
1,2,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7.0
3972,2,0.415,0.315,0.12,0.4015,0.19899999999999998,0.087,0.09699999999999999,8.0
759,2,0.57,0.43,0.12,1.0615,0.348,0.16699999999999998,0.31,15.0
2859,0,0.72,0.565,0.18,1.719,0.8465,0.40700000000000003,0.3875,11.0
3967,1,0.315,0.23,0.07,0.16399999999999998,0.0625,0.04,0.045,6.0
4,1,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7.0
112,1,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9.0
3933,1,0.235,0.18,0.06,0.057999999999999996,0.022000000000000002,0.0145,0.018000000000000002,6.0
214,0,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14.0
2729,1,0.405,0.305,0.1,0.268,0.1145,0.053,0.085,7.0
473,0,0.52,0.405,0.12,0.627,0.2645,0.1415,0.18100000000000002,11.0
1149,0,0.58,0.45,0.155,0.93,0.385,0.24600000000000002,0.265,9.0
53,0,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10.0
1773,1,0.465,0.325,0.14,0.7615,0.36200000000000004,0.1535,0.209,10.0
2991,2,0.595,0.485,0.15,1.0835,0.5305,0.231,0.276,8.0
3911,1,0.355,0.27,0.1,0.21600000000000003,0.083,0.037000000000000005,0.075,10.0
1027,0,0.645,0.505,0.165,1.4325,0.684,0.308,0.336,8.0
3387,2,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,18.0
3951,0,0.465,0.39,0.11,0.6355,0.1815,0.157,0.225,13.0
3418,0,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,8.0
266,2,0.52,0.45,0.15,0.895,0.3615,0.18600000000000003,0.235,14.0
2302,2,0.46,0.375,0.13,0.5735,0.2505,0.11900000000000001,0.195,9.0
2658,1,0.55,0.42,0.13,0.636,0.294,0.14400000000000002,0.1755,8.0
3613,0,0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045,11.0
4076,1,0.545,0.43,0.14,0.772,0.289,0.19,0.2615,8.0
3478,1,0.435,0.335,0.11,0.41100000000000003,0.2025,0.0945,0.1,7.0
3219,2,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,16.0
2388,1,0.515,0.375,0.14,0.6505,0.2495,0.141,0.2215,10.0
342,2,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12.0
370,0,0.65,0.545,0.165,1.5659999999999998,0.6645,0.3455,0.415,16.0
3146,2,0.585,0.45,0.15,1.047,0.4315,0.276,0.315,14.0
201,2,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13.0
1840,1,0.43,0.34,0.1,0.3405,0.1395,0.0665,0.12,8.0
1669,0,0.61,0.465,0.16,1.0725,0.4835,0.2515,0.28,10.0
4005,0,0.555,0.43,0.14,0.7545,0.3525,0.1835,0.2015,9.0
2252,0,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38,14.0
4103,2,0.7,0.545,0.215,1.9125,0.8825,0.4385,0.506,10.0
1103,0,0.505,0.39,0.125,0.5445,0.24600000000000002,0.15,0.1405,7.0
1337,2,0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955,10.0
943,1,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,7.0
3777,2,0.585,0.47,0.145,0.9565,0.4025,0.2365,0.265,9.0
594,2,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,12.0
1364,2,0.61,0.48,0.165,1.244,0.6345,0.257,0.305,12.0
1965,2,0.66,0.51,0.175,1.218,0.5055,0.303,0.37,11.0
2191,2,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455,15.0
1915,0,0.6,0.47,0.135,0.97,0.4655,0.1955,0.264,11.0
3735,2,0.615,0.475,0.15,1.0375,0.47600000000000003,0.2325,0.28300000000000003,9.0
2581,0,0.53,0.42,0.17,0.828,0.41,0.20800000000000002,0.1505,6.0
1575,1,0.485,0.375,0.13,0.6025,0.2935,0.1285,0.16,7.0
2661,2,0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,9.0
2312,1,0.315,0.24,0.07,0.13699999999999998,0.0545,0.0315,0.04,8.0
3556,1,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,9.0
900,1,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,4.0
2235,2,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,13.0
2509,1,0.415,0.315,0.09,0.3625,0.175,0.0835,0.09300000000000001,6.0
1682,1,0.62,0.49,0.16,1.0659999999999998,0.446,0.24600000000000002,0.305,11.0
1622,1,0.565,0.42,0.155,0.743,0.31,0.18600000000000003,0.231,9.0
2255,2,0.51,0.395,0.145,0.6185,0.21600000000000003,0.1385,0.24,12.0
2696,0,0.65,0.49,0.155,1.122,0.545,0.228,0.3055,9.0
1753,2,0.72,0.57,0.2,1.8275,0.919,0.366,0.485,10.0
2447,1,0.275,0.205,0.08,0.096,0.036000000000000004,0.0185,0.03,6.0
3326,1,0.55,0.415,0.135,0.8095,0.2985,0.2015,0.28,12.0
4017,2,0.66,0.505,0.19,1.4385,0.6775,0.285,0.17800000000000002,11.0
1719,2,0.65,0.525,0.185,1.4880000000000002,0.665,0.337,0.37799999999999995,11.0
2594,0,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,9.0
2516,1,0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625,10.0
2455,1,0.235,0.17,0.065,0.0625,0.023,0.013999999999999999,0.022000000000000002,6.0
3905,2,0.38,0.27,0.095,0.21899999999999997,0.0835,0.0515,0.07,6.0
1404,0,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10.0
783,1,0.385,0.28,0.125,0.244,0.102,0.038,0.085,6.0
935,1,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7.0
217,1,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7.0
2876,1,0.445,0.31,0.09,0.336,0.1555,0.09,0.0855,7.0
1618,1,0.555,0.46,0.145,0.9005,0.3845,0.158,0.2765,11.0
1609,1,0.545,0.375,0.12,0.5429999999999999,0.2375,0.1155,0.1725,8.0
1659,0,0.6,0.48,0.18,1.0645,0.4495,0.2455,0.325,10.0
718,1,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,4.0
71,0,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8.0
3927,1,0.5,0.38,0.155,0.6675,0.2745,0.156,0.18,12.0
175,1,0.36,0.26,0.09,0.1785,0.0645,0.037000000000000005,0.075,7.0
688,2,0.525,0.4,0.17,0.7305,0.27899999999999997,0.2055,0.195,11.0
1699,1,0.635,0.5,0.165,1.489,0.715,0.3445,0.3615,13.0
2675,2,0.6,0.49,0.21,1.9875,1.005,0.419,0.491,10.0
254,2,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,15.0
641,1,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,13.0
4107,1,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,7.0
3264,0,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285,12.0
1769,2,0.445,0.32,0.12,0.414,0.19899999999999998,0.09,0.11699999999999999,7.0
2555,1,0.37,0.29,0.08,0.2545,0.10800000000000001,0.0565,0.07,6.0
240,2,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17.0
3673,0,0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085,10.0
2361,2,0.55,0.45,0.155,0.7895,0.34299999999999997,0.159,0.25,12.0
1267,0,0.46,0.365,0.125,0.4785,0.20600000000000002,0.1045,0.141,8.0
3339,0,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,12.0
2146,2,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11.0
453,0,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,11.0
2147,2,0.46,0.375,0.135,0.4935,0.18600000000000003,0.0845,0.17,12.0
3410,1,0.415,0.31,0.105,0.3595,0.16699999999999998,0.083,0.0915,6.0
3993,2,0.72,0.6,0.235,2.2385,0.9840000000000001,0.41100000000000003,0.621,12.0
2289,0,0.58,0.475,0.155,0.9740000000000001,0.4305,0.23,0.285,10.0
1541,1,0.36,0.275,0.075,0.2205,0.0985,0.044000000000000004,0.066,7.0
1715,2,0.645,0.485,0.15,1.2215,0.5695,0.2735,0.33,9.0
1516,2,0.66,0.505,0.165,1.374,0.589,0.35100000000000003,0.345,10.0
2360,0,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,11.0
3019,1,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245,8.0
1703,0,0.64,0.505,0.165,1.2235,0.5215,0.2695,0.36,10.0
3974,1,0.42,0.32,0.115,0.409,0.2055,0.0935,0.105,8.0
660,1,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18.0
2850,2,0.63,0.485,0.16,1.2429999999999999,0.623,0.275,0.3,10.0
2443,0,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,11.0
1867,1,0.525,0.415,0.12,0.596,0.2805,0.12,0.1695,9.0
849,2,0.55,0.45,0.15,1.0145,0.40700000000000003,0.2015,0.2875,10.0
1536,1,0.335,0.255,0.08,0.168,0.079,0.0355,0.05,5.0
2495,2,0.45,0.36,0.16,0.5670000000000001,0.174,0.1245,0.225,12.0
59,0,0.505,0.4,0.125,0.583,0.24600000000000002,0.13,0.175,7.0
2023,0,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9.0
605,1,0.425,0.345,0.125,0.425,0.16,0.0795,0.154,13.0
1627,2,0.57,0.45,0.14,0.795,0.3385,0.14800000000000002,0.245,9.0
79,0,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14.0
3960,2,0.69,0.55,0.195,1.777,0.769,0.38,0.4305,11.0
767,2,0.345,0.27,0.095,0.19699999999999998,0.0665,0.05,0.07,9.0
4029,1,0.435,0.335,0.11,0.33399999999999996,0.1355,0.0775,0.0965,7.0
86,2,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13.0
1204,2,0.735,0.585,0.185,2.124,0.9520000000000001,0.55,0.5,11.0
1515,2,0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,11.0
298,2,0.49,0.395,0.14,0.5489999999999999,0.2215,0.1275,0.15,11.0
1741,2,0.68,0.52,0.195,1.4535,0.5920000000000001,0.391,0.4125,10.0
467,2,0.655,0.53,0.195,1.3880000000000001,0.5670000000000001,0.2735,0.41,13.0
2113,1,0.385,0.29,0.09,0.23199999999999998,0.0855,0.0495,0.08,7.0
1554,1,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,8.0
2310,0,0.435,0.35,0.11,0.384,0.14300000000000002,0.1005,0.125,13.0
2024,2,0.545,0.44,0.14,0.8395,0.35600000000000004,0.1905,0.2385,11.0
3567,1,0.58,0.46,0.14,0.9265,0.4135,0.1845,0.27,10.0
4084,0,0.575,0.48,0.17,1.1,0.506,0.2485,0.31,10.0
2535,0,0.64,0.5,0.18,1.4995,0.593,0.314,0.431,11.0
3653,1,0.53,0.425,0.13,0.7809999999999999,0.3905,0.2005,0.215,9.0
1779,2,0.5,0.37,0.15,1.0615,0.494,0.223,0.29600000000000004,9.0
3671,1,0.595,0.47,0.135,0.9365,0.434,0.184,0.287,10.0
3516,0,0.7,0.575,0.2,1.7365,0.7755,0.3965,0.461,11.0
1574,2,0.48,0.355,0.16,0.46399999999999997,0.221,0.106,0.239,8.0
640,2,0.325,0.24,0.085,0.17300000000000001,0.0795,0.038,0.05,7.0
2963,0,0.67,0.525,0.19,1.527,0.5755,0.353,0.44,12.0
2899,1,0.55,0.425,0.13,0.664,0.2695,0.163,0.21,8.0
153,0,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10.0
2816,1,0.325,0.24,0.075,0.1525,0.07200000000000001,0.0645,0.043,6.0
2378,1,0.415,0.325,0.115,0.3285,0.1405,0.051,0.106,12.0
4109,2,0.48,0.365,0.13,0.5305,0.2405,0.127,0.139,8.0
1096,1,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7.0
1006,2,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11.0
1081,1,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6.0
2043,1,0.395,0.295,0.1,0.293,0.14,0.062,0.08199999999999999,7.0
1968,2,0.665,0.525,0.18,1.429,0.6715,0.29,0.4,12.0
376,2,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11.0
239,1,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5.0
1215,1,0.305,0.215,0.065,0.1075,0.044000000000000004,0.0205,0.038,5.0
3542,1,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,8.0
1676,2,0.615,0.47,0.16,1.0175,0.473,0.2395,0.28,10.0
3376,1,0.31,0.235,0.09,0.127,0.048,0.031,0.04,6.0
288,2,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9.0
2401,0,0.585,0.415,0.155,0.6985,0.3,0.146,0.195,12.0
2695,2,0.65,0.51,0.155,1.4069999999999998,0.7215,0.298,0.335,9.0
3527,1,0.35,0.26,0.09,0.1765,0.07200000000000001,0.0355,0.0575,7.0
2499,2,0.54,0.41,0.145,0.9890000000000001,0.2815,0.213,0.355,19.0
3785,2,0.625,0.495,0.155,1.177,0.5055,0.278,0.345,9.0
3415,0,0.56,0.465,0.16,1.0315,0.43200000000000005,0.2025,0.337,9.0
2248,2,0.36,0.27,0.09,0.2225,0.083,0.053,0.075,6.0
2063,2,0.525,0.385,0.1,0.5115,0.24600000000000002,0.1005,0.1455,8.0
2021,2,0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765,9.0
3049,2,0.59,0.405,0.15,0.853,0.326,0.2615,0.245,9.0
197,2,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16.0
540,0,0.5,0.375,0.14,0.604,0.242,0.1415,0.179,15.0
1228,1,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,4.0
3271,2,0.52,0.425,0.155,0.7735,0.297,0.12300000000000001,0.255,17.0
422,0,0.49,0.39,0.135,0.5785,0.2465,0.12300000000000001,0.2,13.0
67,0,0.595,0.495,0.185,1.285,0.41600000000000004,0.22399999999999998,0.485,13.0
2744,2,0.48,0.375,0.12,0.5895,0.2535,0.128,0.172,11.0
2270,0,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,18.0
2620,0,0.695,0.55,0.155,1.8495,0.767,0.442,0.4175,10.0
1451,1,0.46,0.355,0.11,0.436,0.1975,0.096,0.125,8.0
1521,0,0.68,0.5,0.185,1.7409999999999999,0.7665,0.3255,0.4685,12.0
911,1,0.34,0.25,0.07,0.2225,0.10400000000000001,0.0425,0.055,7.0
3496,2,0.575,0.44,0.145,0.87,0.3945,0.2195,0.225,8.0
1047,0,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12.0
3626,2,0.69,0.53,0.19,1.5955,0.6779999999999999,0.331,0.48,10.0
3979,2,0.495,0.375,0.115,0.6245,0.282,0.14300000000000002,0.155,6.0
2193,1,0.215,0.17,0.055,0.0605,0.0205,0.013999999999999999,0.02,6.0
2463,2,0.515,0.405,0.14,0.8505,0.312,0.146,0.315,17.0
2599,2,0.61,0.48,0.15,1.1495,0.564,0.27399999999999997,0.264,8.0
3684,1,0.62,0.47,0.155,0.966,0.447,0.171,0.284,11.0
95,2,0.665,0.535,0.195,1.6059999999999999,0.5755,0.38799999999999996,0.48,14.0
536,1,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,11.0
2115,1,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009000000000000001,3.0
2997,0,0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925,9.0
244,1,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8.0
4089,2,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,9.0
3587,2,0.635,0.495,0.17,1.3695,0.657,0.3055,0.365,10.0
1634,0,0.575,0.47,0.155,1.1159999999999999,0.509,0.23800000000000002,0.34,10.0
792,2,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9.0
1005,2,0.605,0.475,0.155,1.161,0.5720000000000001,0.2455,0.275,9.0
4100,0,0.675,0.52,0.175,1.494,0.7365,0.3055,0.37,9.0
2904,1,0.575,0.455,0.16,0.9895,0.495,0.195,0.24600000000000002,9.0
3755,1,0.51,0.395,0.105,0.5525,0.23399999999999999,0.127,0.165,8.0
2965,2,0.67,0.525,0.195,1.4405,0.6595,0.2675,0.425,9.0
2419,0,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,10.0
1316,2,0.555,0.44,0.14,0.8705,0.40700000000000003,0.156,0.255,9.0
887,0,0.675,0.525,0.155,1.4785,0.628,0.3405,0.42,9.0
3466,2,0.64,0.5,0.17,1.4545,0.642,0.3575,0.354,9.0
1969,0,0.67,0.53,0.205,1.4015,0.643,0.2465,0.41600000000000004,12.0
1138,2,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9.0
2552,1,0.31,0.225,0.075,0.155,0.065,0.037000000000000005,0.0365,6.0
1890,2,0.565,0.455,0.155,0.9355,0.42100000000000004,0.183,0.26,11.0
1495,0,0.62,0.435,0.155,1.012,0.47700000000000004,0.23600000000000002,0.275,8.0
784,1,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,5.0
2178,0,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,15.0
2135,2,0.565,0.425,0.1,0.7145,0.3055,0.166,0.18,12.0
3764,1,0.535,0.4,0.145,0.705,0.3065,0.1365,0.22,10.0
2488,2,0.5,0.385,0.145,0.7615,0.24600000000000002,0.195,0.204,14.0
3640,1,0.445,0.345,0.12,0.4035,0.16899999999999998,0.0825,0.13,7.0
443,1,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10.0
251,2,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13.0
3207,1,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,15.0
3705,0,0.67,0.54,0.2,1.46,0.6435,0.32799999999999996,0.4165,9.0
29,2,0.575,0.425,0.14,0.8635,0.39299999999999996,0.22699999999999998,0.2,11.0
460,2,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,11.0
3863,0,0.655,0.5,0.18,1.4155,0.508,0.314,0.445,18.0
2468,0,0.37,0.275,0.08,0.22699999999999998,0.09300000000000001,0.0625,0.07,8.0
322,2,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,11.0
2058,2,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,8.0
1942,2,0.63,0.49,0.155,1.2525,0.63,0.24600000000000002,0.289,9.0
802,2,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,9.0
128,2,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19.0
922,1,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,6.0
1865,1,0.52,0.38,0.115,0.6645,0.3285,0.17,0.1425,7.0
2923,0,0.605,0.495,0.17,1.0915,0.4365,0.2715,0.335,13.0
3827,2,0.68,0.54,0.195,1.7825,0.5565,0.3235,0.4285,11.0
3572,0,0.585,0.46,0.165,1.058,0.486,0.25,0.294,9.0
3493,2,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,8.0
1603,1,0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,9.0
324,2,0.335,0.265,0.105,0.222,0.0935,0.055999999999999994,0.075,7.0
2072,2,0.58,0.45,0.12,0.8685,0.418,0.1475,0.2605,8.0
2914,1,0.59,0.46,0.125,0.755,0.33399999999999996,0.15,0.23800000000000002,9.0
2913,2,0.59,0.5,0.15,1.1420000000000001,0.485,0.265,0.345,9.0
3566,2,0.575,0.45,0.155,0.8859999999999999,0.3605,0.21100000000000002,0.2575,9.0
912,1,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,7.0
3199,0,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9.0
1692,0,0.625,0.485,0.175,1.3619999999999999,0.6765,0.2615,0.3705,10.0
760,2,0.585,0.405,0.15,1.2565,0.435,0.20199999999999999,0.325,15.0
1926,2,0.615,0.47,0.145,1.0285,0.4435,0.2825,0.285,11.0
2936,2,0.625,0.495,0.175,1.2075,0.531,0.281,0.3525,11.0
1947,2,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,12.0
2727,1,0.405,0.305,0.1,0.271,0.0965,0.061,0.091,7.0
2096,2,0.5,0.39,0.145,0.6509999999999999,0.273,0.132,0.22,11.0
4096,0,0.635,0.5,0.175,1.4769999999999999,0.684,0.3005,0.39,12.0
927,1,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,8.0
3876,2,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,16.0
985,2,0.57,0.45,0.155,1.1935,0.513,0.21,0.34299999999999997,10.0
2683,2,0.625,0.495,0.185,1.3835,0.7105,0.3005,0.345,11.0
614,1,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15.0
549,1,0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,11.0
2297,2,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8.0
2340,0,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,11.0
3093,0,0.52,0.43,0.15,0.728,0.302,0.1575,0.235,11.0
2476,2,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,18.0
4133,2,0.585,0.45,0.15,0.997,0.4055,0.28300000000000003,0.251,11.0
782,2,0.515,0.435,0.145,0.8815,0.292,0.20600000000000002,0.255,10.0
3010,1,0.375,0.26,0.08,0.2075,0.09,0.0415,0.07,6.0
747,2,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,9.0
3248,2,0.595,0.5,0.165,1.06,0.402,0.28,0.275,11.0
2593,0,0.595,0.47,0.155,1.1775,0.542,0.26899999999999996,0.31,9.0
714,2,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9.0
2975,1,0.32,0.215,0.095,0.305,0.14,0.067,0.0885,6.0
4146,2,0.695,0.53,0.21,1.51,0.664,0.4095,0.385,10.0
2607,0,0.625,0.49,0.165,1.127,0.47700000000000004,0.2365,0.3185,9.0
1545,1,0.375,0.28,0.08,0.2165,0.0935,0.0925,0.07,7.0
1873,1,0.53,0.405,0.12,0.632,0.2715,0.14800000000000002,0.1875,9.0
3437,1,0.395,0.3,0.09,0.27899999999999997,0.134,0.049,0.075,8.0
520,2,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3.0
2554,1,0.34,0.265,0.07,0.185,0.0625,0.0395,0.07,7.0
2966,2,0.67,0.54,0.175,1.482,0.7390000000000001,0.2925,0.365,10.0
1693,1,0.625,0.485,0.15,1.044,0.43799999999999994,0.2865,0.278,9.0
506,2,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305,12.0
146,2,0.46,0.35,0.12,0.515,0.22399999999999998,0.10800000000000001,0.1565,10.0
356,2,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13.0
493,2,0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,15.0
4069,1,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,8.0
3460,2,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9.0
1272,1,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14,8.0
2646,1,0.495,0.38,0.12,0.512,0.233,0.1205,0.136,7.0
3912,1,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,15.0
3135,2,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,9.0
2857,2,0.665,0.515,0.19,1.6385,0.831,0.3575,0.371,11.0
1106,1,0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525,9.0
2806,0,0.675,0.525,0.17,1.7109999999999999,0.8365,0.35200000000000004,0.475,9.0
44,1,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4.0
2497,2,0.505,0.4,0.155,0.8415,0.2715,0.1775,0.285,12.0
3143,1,0.2,0.15,0.04,0.046,0.021,0.006999999999999999,0.0065,4.0
289,0,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,10.0
2838,2,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,9.0
3227,0,0.45,0.35,0.135,0.56,0.231,0.13699999999999998,0.145,13.0
2298,1,0.415,0.325,0.1,0.385,0.16699999999999998,0.08,0.125,7.0
2060,2,0.5,0.39,0.135,0.7815,0.361,0.1575,0.2385,9.0
1751,0,0.71,0.54,0.205,1.5805,0.802,0.287,0.435,10.0
